"county","state","home_affordability","cum_county","cum_home_affordability"
"Franklin","Virginia","4","17.99%","31.95%"
"Colfax","New Mexico","4","18.02%","31.99%"
"Graham","North Carolina","4","18.05%","32.03%"
"Kenai Peninsula Borough","Alaska","4","18.08%","32.07%"
"Robertson","Tennessee","4","18.11%","32.12%"
"Fall River","South Dakota","4","18.15%","32.16%"
"Yuma","Arizona","4","18.18%","32.2%"
"Crow Wing","Minnesota","4","18.21%","32.24%"
"McKinley","New Mexico","4","18.24%","32.28%"
"Sequatchie","Tennessee","4","18.27%","32.32%"
"DeKalb","Georgia","4","18.3%","32.36%"
"Kent","Maryland","4","18.33%","32.4%"
"Knox","Tennessee","4","18.36%","32.44%"
"Worcester","Massachusetts","4","18.39%","32.48%"
"Colleton","South Carolina","4","18.42%","32.52%"
"Jackson","Georgia","4","18.45%","32.56%"
"Grainger","Tennessee","4","18.49%","32.61%"
"McDowell","North Carolina","4","18.52%","32.65%"
"Walton","Georgia","4","18.55%","32.69%"
"Lafayette","Mississippi","4","18.58%","32.73%"
"Marion","Arkansas","4","18.61%","32.77%"
"Ulster","New York","4","18.64%","32.81%"
"Kent","Delaware","4","18.67%","32.85%"
"Fulton","Arkansas","4","18.7%","32.89%"
"Antrim","Michigan","4","18.73%","32.93%"
"Jefferson","Tennessee","4","18.76%","32.97%"
"Collin","Texas","4","18.79%","33.01%"
"Owsley","Kentucky","4","18.83%","33.05%"
"York","South Carolina","4","18.86%","33.09%"
"Logan","Colorado","4","18.89%","33.13%"
"Putnam","Florida","4","18.92%","33.17%"
"Medina","Texas","4","18.95%","33.21%"
"Smith","Tennessee","4","18.98%","33.25%"
"Northampton","Virginia","4","19.01%","33.3%"
"Hampshire","Massachusetts","4","19.04%","33.34%"
"Blount","Tennessee","4","19.07%","33.38%"
"Waynesboro city","Virginia","4","19.1%","33.42%"
"Waldo","Maine","4","19.13%","33.46%"
"McPherson","Nebraska","4","19.17%","33.5%"
"Meigs","Tennessee","4","19.2%","33.54%"
"Catron","New Mexico","4","19.23%","33.58%"
"Chatham","Georgia","4","19.26%","33.62%"
"Suwannee","Florida","4","19.29%","33.66%"
"Taney","Missouri","4","19.32%","33.7%"
"Hamilton","Tennessee","4","19.35%","33.74%"
"Banks","Georgia","4","19.38%","33.78%"
"Southeast Fairbanks Census Area","Alaska","4","19.41%","33.82%"
"Coffee","Tennessee","4","19.44%","33.86%"
"Walworth","Wisconsin","4","19.47%","33.9%"
"Wayne","Pennsylvania","4","19.51%","33.94%"
"Baxter","Arkansas","4","19.54%","33.98%"
"Carter","Missouri","4","19.57%","34.02%"
"Butts","Georgia","4","19.6%","34.06%"
"Brown","Indiana","4","19.63%","34.1%"
"Hood","Texas","4","19.66%","34.14%"
"Silver Bow","Montana","4","19.69%","34.18%"
"Gaston","North Carolina","4","19.72%","34.22%"
"Ketchikan Gateway Borough","Alaska","4","19.75%","34.26%"
"Adams","Washington","4","19.78%","34.3%"
"Dallas","Texas","4","19.81%","34.34%"
"Denton","Texas","4","19.85%","34.38%"
"Lewis","Tennessee","4","19.88%","34.42%"
"Union","North Carolina","4","19.91%","34.46%"
"Hopewell city","Virginia","4","19.94%","34.5%"
"Middlesex","New Jersey","4","19.97%","34.54%"
"Stanly","North Carolina","4","20%","34.58%"
"Fauquier","Virginia","4","20.03%","34.62%"
"Greene","New York","4","20.06%","34.66%"
"Culpeper","Virginia","4","20.09%","34.69%"
"Berkeley","South Carolina","4","20.12%","34.73%"
"Marshall","Tennessee","4","20.15%","34.77%"
"Clarke","Virginia","4","20.19%","34.81%"
"Hillsborough","New Hampshire","4","20.22%","34.85%"
"San Jacinto","Texas","4","20.25%","34.89%"
"Parker","Texas","4","20.28%","34.93%"
"Milam","Texas","4","20.31%","34.97%"
"Rockdale","Georgia","4","20.34%","35.01%"
"Caroline","Maryland","4","20.37%","35.05%"
"Henderson","Texas","4","20.4%","35.09%"
"Radford city","Virginia","4","20.43%","35.13%"
"Louisa","Virginia","4","20.46%","35.17%"
"West Feliciana Parish","Louisiana","4","20.49%","35.21%"
"Cumberland","Virginia","4","20.53%","35.25%"
"Ozaukee","Wisconsin","4","20.56%","35.29%"
"Johnston","North Carolina","4","20.59%","35.33%"
"Madison","Virginia","4","20.62%","35.37%"
"Sierra","New Mexico","4","20.65%","35.41%"
"Montgomery","Virginia","4","20.68%","35.44%"
"Cascade","Montana","4","20.71%","35.48%"
"Merrimack","New Hampshire","4","20.74%","35.52%"
"Norfolk city","Virginia","4","20.77%","35.56%"
"Holmes","Ohio","4","20.8%","35.6%"
"Monroe","Tennessee","4","20.83%","35.64%"
"Oconee","Georgia","4","20.87%","35.68%"
"Banner","Nebraska","4","20.9%","35.72%"
"Cabarrus","North Carolina","4","20.93%","35.76%"
"Franklin","Massachusetts","4","20.96%","35.8%"
"Wise","Texas","4","20.99%","35.84%"
"Franklin","Maine","4","21.02%","35.88%"
"Lincoln","Washington","4","21.05%","35.91%"
"Rains","Texas","4","21.08%","35.95%"
"Grafton","New Hampshire","4","21.11%","35.99%"
"Carroll","Arkansas","4","21.14%","36.03%"
"Nacogdoches","Texas","4","21.17%","36.07%"
"Payne","Oklahoma","4","21.21%","36.11%"
"San Augustine","Texas","4","21.24%","36.15%"
"Cochise","Arizona","4","21.27%","36.19%"
"Polk","Missouri","4","21.3%","36.23%"
"Hopkins","Texas","4","21.33%","36.27%"
"Wood","Texas","4","21.36%","36.31%"
"Cherokee","Alabama","4","21.39%","36.35%"
"Umatilla","Oregon","4","21.42%","36.38%"
"Washtenaw","Michigan","4","21.45%","36.42%"
"Lincoln","Georgia","4","21.48%","36.46%"
"Zapata","Texas","4","21.51%","36.5%"
"Rockbridge","Virginia","4","21.55%","36.54%"
"Washington","Tennessee","4","21.58%","36.58%"
"Rio Grande","Colorado","4","21.61%","36.62%"
"Douglas","Missouri","4","21.64%","36.66%"
"Page","Virginia","4","21.67%","36.7%"
"Morris","New Jersey","4","21.7%","36.74%"
"Centre","Pennsylvania","4","21.73%","36.77%"
"Oconee","South Carolina","4","21.76%","36.81%"
"Lowndes","Alabama","4","21.79%","36.85%"
"Oneida","Idaho","4","21.82%","36.89%"
"Greenville","South Carolina","4","21.85%","36.93%"
"Cocke","Tennessee","4","21.89%","36.97%"
"Powell","Montana","4","21.92%","37.01%"
"Bradley","Tennessee","4","21.95%","37.05%"
"San Juan","New Mexico","4","21.98%","37.08%"
"Baker","Florida","4","22.01%","37.12%"
"Uintah","Utah","4","22.04%","37.16%"
"Millard","Utah","4","22.07%","37.2%"
"Leon","Florida","4","22.1%","37.24%"
"Big Horn","Wyoming","4","22.13%","37.28%"
"Tippecanoe","Indiana","4","22.16%","37.32%"
"Claiborne","Tennessee","4","22.19%","37.36%"
"Forsyth","Georgia","4","22.23%","37.39%"
"Barrow","Georgia","4","22.26%","37.43%"
"Orange","Vermont","4","22.29%","37.47%"
"Cobb","Georgia","4","22.32%","37.51%"
"Highlands","Florida","4","22.35%","37.55%"
"Hunt","Texas","4","22.38%","37.59%"
"Stanley","South Dakota","4","22.41%","37.62%"
"Dutchess","New York","4","22.44%","37.66%"
"Clark","Idaho","4","22.47%","37.7%"
"Cherokee","Georgia","4","22.5%","37.74%"
"Rutherford","North Carolina","4","22.53%","37.78%"
"Madison","Arkansas","4","22.57%","37.82%"
"Minidoka","Idaho","4","22.6%","37.85%"
"Garland","Arkansas","4","22.63%","37.89%"
"Wilkes","North Carolina","4","22.66%","37.93%"
"Douglas","Kansas","4","22.69%","37.97%"
"Grant","New Mexico","4","22.72%","38.01%"
"Sullivan","New Hampshire","4","22.75%","38.05%"
"Fayette","Tennessee","4","22.78%","38.08%"
"Hamblen","Tennessee","4","22.81%","38.12%"
"Habersham","Georgia","4","22.84%","38.16%"
"Johnson","Texas","4","22.87%","38.2%"
"Briscoe","Texas","4","22.91%","38.24%"
"Franklin","Vermont","4","22.94%","38.27%"
"Caledonia","Vermont","4","22.97%","38.31%"
"Tarrant","Texas","4","23%","38.35%"
"Chouteau","Montana","4","23.03%","38.39%"
"Androscoggin","Maine","4","23.06%","38.43%"
"Teton","Montana","4","23.09%","38.46%"
"Lawrence","Tennessee","4","23.12%","38.5%"
"Richland","Montana","4","23.15%","38.54%"
"Montgomery","Tennessee","4","23.18%","38.58%"
"Knox","Kentucky","4","23.21%","38.62%"
"Fayette","Kentucky","4","23.25%","38.65%"
"Fayette","Georgia","4","23.28%","38.69%"
"Fergus","Montana","4","23.31%","38.73%"
"Newton","Arkansas","4","23.34%","38.77%"
"Hampden","Massachusetts","4","23.37%","38.81%"
"McLennan","Texas","4","23.4%","38.84%"
"Sherman","Oregon","4","23.43%","38.88%"
"Otter Tail","Minnesota","4","23.46%","38.92%"
"Burnett","Wisconsin","4","23.49%","38.96%"
"Prince William","Virginia","4","23.52%","39%"
"Brookings","South Dakota","4","23.55%","39.03%"
"Goliad","Texas","4","23.59%","39.07%"
"Pondera","Montana","4","23.62%","39.11%"
"Cleburne","Arkansas","4","23.65%","39.15%"
"Escambia","Florida","4","23.68%","39.18%"
"Palo Pinto","Texas","4","23.71%","39.22%"
"Madison","Florida","4","23.74%","39.26%"
"Boone","Missouri","4","23.77%","39.3%"
"Irion","Texas","4","23.8%","39.33%"
"Bledsoe","Tennessee","4","23.83%","39.37%"
"McIntosh","Georgia","4","23.86%","39.41%"
"Amelia","Virginia","4","23.89%","39.45%"
"Clayton","Georgia","4","23.93%","39.48%"
"Shelby","Texas","4","23.96%","39.52%"
"Henry","Georgia","4","23.99%","39.56%"
"Jefferson Parish","Louisiana","4","24.02%","39.6%"
"Goochland","Virginia","4","24.05%","39.63%"
"Kennebec","Maine","4","24.08%","39.67%"
"Warren","Kentucky","4","24.11%","39.71%"
"Alamance","North Carolina","4","24.14%","39.75%"
"Virginia Beach city","Virginia","4","24.17%","39.78%"
"Dallas","Missouri","4","24.2%","39.82%"
"McCurtain","Oklahoma","4","24.23%","39.86%"
"Cooke","Texas","4","24.27%","39.9%"
"Taylor","Florida","4","24.3%","39.93%"
"Prince George's","Maryland","4","24.33%","39.97%"
"Clay","Florida","4","24.36%","40.01%"
"Miller","Missouri","4","24.39%","40.05%"
"Lee","North Carolina","4","24.42%","40.08%"
"Treasure","Montana","4","24.45%","40.12%"
"Carter","Tennessee","4","24.48%","40.16%"
"Henrico","Virginia","4","24.51%","40.19%"
"Sandoval","New Mexico","4","24.54%","40.23%"
"Augusta","Virginia","4","24.57%","40.27%"
"Granville","North Carolina","4","24.61%","40.31%"
"Yuma","Colorado","4","24.64%","40.34%"
"Lanier","Georgia","4","24.67%","40.38%"
"Cass","North Dakota","4","24.7%","40.42%"
"Loudoun","Virginia","4","24.73%","40.45%"
"Socorro","New Mexico","4","24.76%","40.49%"
"Queen Anne's","Maryland","4","24.79%","40.53%"
"Morgan","West Virginia","4","24.82%","40.57%"
"Bell","Texas","3","24.85%","40.6%"
"Tompkins","New York","3","24.88%","40.64%"
"Greene","Missouri","3","24.91%","40.68%"
"Orange","New York","3","24.95%","40.71%"
"Manassas Park city","Virginia","3","24.98%","40.75%"
"Ottawa","Michigan","3","25.01%","40.79%"
"Perquimans","North Carolina","3","25.04%","40.82%"
"Frederick","Virginia","3","25.07%","40.86%"
"Hardy","West Virginia","3","25.1%","40.9%"
"Sevier","Utah","3","25.13%","40.93%"
"Reeves","Texas","3","25.16%","40.97%"
"Tallapoosa","Alabama","3","25.19%","41.01%"
"Bulloch","Georgia","3","25.22%","41.05%"
"Morrow","Oregon","3","25.26%","41.08%"
"Grayson","Texas","3","25.29%","41.12%"
"Phillips","Colorado","3","25.32%","41.16%"
"Appomattox","Virginia","3","25.35%","41.19%"
"Newton","Georgia","3","25.38%","41.23%"
"Hubbard","Minnesota","3","25.41%","41.27%"
"Somerset","New Jersey","3","25.44%","41.3%"
"Menominee","Wisconsin","3","25.47%","41.34%"
"Laclede","Missouri","3","25.5%","41.38%"
"Jackson","Kentucky","3","25.53%","41.41%"
"Magoffin","Kentucky","3","25.56%","41.45%"
"Warren","Tennessee","3","25.6%","41.49%"
"Greene","Alabama","3","25.63%","41.52%"
"Pamlico","North Carolina","3","25.66%","41.56%"
"Chester","Pennsylvania","3","25.69%","41.6%"
"Burke","North Carolina","3","25.72%","41.63%"
"Atlantic","New Jersey","3","25.75%","41.67%"
"Cedar","Missouri","3","25.78%","41.71%"
"Duchesne","Utah","3","25.81%","41.74%"
"Bucks","Pennsylvania","3","25.84%","41.78%"
"McDonald","Missouri","3","25.87%","41.81%"
"Catawba","North Carolina","3","25.9%","41.85%"
"Hill","Montana","3","25.94%","41.89%"
"Rowan","North Carolina","3","25.97%","41.92%"
"Harney","Oregon","3","26%","41.96%"
"Elko","Nevada","3","26.03%","42%"
"Mathews","Virginia","3","26.06%","42.03%"
"Dixie","Florida","3","26.09%","42.07%"
"Orleans","Vermont","3","26.12%","42.11%"
"Union","Tennessee","3","26.15%","42.14%"
"Chester","South Carolina","3","26.18%","42.18%"
"Claiborne Parish","Louisiana","3","26.21%","42.22%"
"Kimble","Texas","3","26.24%","42.25%"
"Howard","Maryland","3","26.28%","42.29%"
"Harnett","North Carolina","3","26.31%","42.32%"
"Bayfield","Wisconsin","3","26.34%","42.36%"
"Van Zandt","Texas","3","26.37%","42.4%"
"Harris","Texas","3","26.4%","42.43%"
"Bryan","Oklahoma","3","26.43%","42.47%"
"Madison","Texas","3","26.46%","42.51%"
"Lampasas","Texas","3","26.49%","42.54%"
"Onslow","North Carolina","3","26.52%","42.58%"
"Forsyth","North Carolina","3","26.55%","42.62%"
"Pope","Minnesota","3","26.58%","42.65%"
"Coweta","Georgia","3","26.62%","42.69%"
"Spartanburg","South Carolina","3","26.65%","42.72%"
"Bedford","Virginia","3","26.68%","42.76%"
"Oneida","Wisconsin","3","26.71%","42.8%"
"Polk","Wisconsin","3","26.74%","42.83%"
"Dolores","Colorado","3","26.77%","42.87%"
"Waukesha","Wisconsin","3","26.8%","42.9%"
"Madison","Mississippi","3","26.83%","42.94%"
"Aitkin","Minnesota","3","26.86%","42.98%"
"Cleburne","Alabama","3","26.89%","43.01%"
"Graham","Arizona","3","26.92%","43.05%"
"Macon","Tennessee","3","26.96%","43.09%"
"Minnehaha","South Dakota","3","26.99%","43.12%"
"Dorchester","Maryland","3","27.02%","43.16%"
"Tangipahoa Parish","Louisiana","3","27.05%","43.19%"
"Anderson","Tennessee","3","27.08%","43.23%"
"James City","Virginia","3","27.11%","43.27%"
"Hayes","Nebraska","3","27.14%","43.3%"
"Bexar","Texas","3","27.17%","43.34%"
"Panola","Mississippi","3","27.2%","43.37%"
"Bibb","Alabama","3","27.23%","43.41%"
"Douglas","Minnesota","3","27.26%","43.45%"
"Wright","Missouri","3","27.3%","43.48%"
"Riley","Kansas","3","27.33%","43.52%"
"Hoke","North Carolina","3","27.36%","43.55%"
"Kidder","North Dakota","3","27.39%","43.59%"
"Ramsey","Minnesota","3","27.42%","43.63%"
"Santa Rosa","Florida","3","27.45%","43.66%"
"Amite","Mississippi","3","27.48%","43.7%"
"Chesapeake city","Virginia","3","27.51%","43.73%"
"Cheshire","New Hampshire","3","27.54%","43.77%"
"Gadsden","Florida","3","27.57%","43.81%"
"Grayson","Virginia","3","27.6%","43.84%"
"Unicoi","Tennessee","3","27.64%","43.88%"
"Kent","Rhode Island","3","27.67%","43.91%"
"Ellis","Texas","3","27.7%","43.95%"
"Mille Lacs","Minnesota","3","27.73%","43.99%"
"Luna","New Mexico","3","27.76%","44.02%"
"Rockingham","Virginia","3","27.79%","44.06%"
"Washington","Nebraska","3","27.82%","44.09%"
"Anchorage Municipality","Alaska","3","27.85%","44.13%"
"Otero","New Mexico","3","27.88%","44.16%"
"Clay","Tennessee","3","27.91%","44.2%"
"Jasper","Texas","3","27.94%","44.24%"
"Washington","Maryland","3","27.98%","44.27%"
"Warren","Virginia","3","28.01%","44.31%"
"Newberry","South Carolina","3","28.04%","44.34%"
"Rio Blanco","Colorado","3","28.07%","44.38%"
"Galveston","Texas","3","28.1%","44.41%"
"Fentress","Tennessee","3","28.13%","44.45%"
"Washington","Florida","3","28.16%","44.48%"
"Anne Arundel","Maryland","3","28.19%","44.52%"
"San Saba","Texas","3","28.22%","44.56%"
"Starr","Texas","3","28.25%","44.59%"
"Madison","Kentucky","3","28.28%","44.63%"
"Howell","Missouri","3","28.32%","44.66%"
"Kaufman","Texas","3","28.35%","44.7%"
"Monongalia","West Virginia","3","28.38%","44.73%"
"Lancaster","Pennsylvania","3","28.41%","44.77%"
"St. Bernard Parish","Louisiana","3","28.44%","44.8%"
"Gordon","Georgia","3","28.47%","44.84%"
"Johnson","Tennessee","3","28.5%","44.87%"
"Douglas","Georgia","3","28.53%","44.91%"
"Davie","North Carolina","3","28.56%","44.95%"
"Lehigh","Pennsylvania","3","28.59%","44.98%"
"Pickaway","Ohio","3","28.62%","45.02%"
"Pike","Georgia","3","28.66%","45.05%"
"Eau Claire","Wisconsin","3","28.69%","45.09%"
"Hamilton","Florida","3","28.72%","45.12%"
"Steuben","Indiana","3","28.75%","45.16%"
"Oglethorpe","Georgia","3","28.78%","45.19%"
"Warren","New York","3","28.81%","45.23%"
"Clay","South Dakota","3","28.84%","45.26%"
"Mason","Michigan","3","28.87%","45.3%"
"Avoyelles Parish","Louisiana","3","28.9%","45.33%"
"Campbell","Tennessee","3","28.93%","45.37%"
"Burleigh","North Dakota","3","28.96%","45.4%"
"Montague","Texas","3","29%","45.44%"
"La Crosse","Wisconsin","3","29.03%","45.47%"
"Johnson","Missouri","3","29.06%","45.51%"
"Sauk","Wisconsin","3","29.09%","45.55%"
"Rhea","Tennessee","3","29.12%","45.58%"
"Gloucester","Virginia","3","29.15%","45.62%"
"Cullman","Alabama","3","29.18%","45.65%"
"Hennepin","Minnesota","3","29.21%","45.69%"
"Keya Paha","Nebraska","3","29.24%","45.72%"
"Searcy","Arkansas","3","29.27%","45.76%"
"Guilford","North Carolina","3","29.3%","45.79%"
"Simpson","Kentucky","3","29.34%","45.83%"
"Bartow","Georgia","3","29.37%","45.86%"
"Platte","Wyoming","3","29.4%","45.9%"
"Holmes","Florida","3","29.43%","45.93%"
"Fannin","Texas","3","29.46%","45.97%"
"Dunn","Wisconsin","3","29.49%","46%"
"Morrison","Minnesota","3","29.52%","46.04%"
"Spalding","Georgia","3","29.55%","46.07%"
"Montgomery","Pennsylvania","3","29.58%","46.11%"
"Fairfield","South Carolina","3","29.61%","46.14%"
"Natchitoches Parish","Louisiana","3","29.64%","46.18%"
"Carroll","Maryland","3","29.68%","46.21%"
"Davidson","North Carolina","3","29.71%","46.25%"
"Staunton city","Virginia","3","29.74%","46.28%"
"Portsmouth city","Virginia","3","29.77%","46.32%"
"Randolph","North Carolina","3","29.8%","46.35%"
"Greene","Virginia","3","29.83%","46.39%"
"Frederick","Maryland","3","29.86%","46.42%"
"Pitt","North Carolina","3","29.89%","46.46%"
"Sullivan","New York","3","29.92%","46.49%"
"Prince Edward","Virginia","3","29.95%","46.53%"
"Sabine Parish","Louisiana","3","29.98%","46.56%"
"Carroll","Georgia","3","30.02%","46.6%"
"McKenzie","North Dakota","3","30.05%","46.63%"
"Sullivan","Tennessee","3","30.08%","46.67%"
"Wilson","North Carolina","3","30.11%","46.7%"
"Union","South Dakota","3","30.14%","46.74%"
"Lafayette","Florida","3","30.17%","46.77%"
"Natrona","Wyoming","3","30.2%","46.8%"
"Richland","South Carolina","3","30.23%","46.84%"
"Hunterdon","New Jersey","3","30.26%","46.87%"
"Chowan","North Carolina","3","30.29%","46.91%"
"Upshur","Texas","3","30.32%","46.94%"
"Matanuska-Susitna Borough","Alaska","3","30.36%","46.98%"
"Maverick","Texas","3","30.39%","47.01%"
"Benton","Arkansas","3","30.42%","47.05%"
"Atascosa","Texas","3","30.45%","47.08%"
"Grayson","Kentucky","3","30.48%","47.12%"
"Coos","New Hampshire","3","30.51%","47.15%"
"Blue Earth","Minnesota","3","30.54%","47.19%"
"St. Clair","Missouri","3","30.57%","47.22%"
"Newport News city","Virginia","3","30.6%","47.26%"
"King George","Virginia","3","30.63%","47.29%"
"Wakulla","Florida","3","30.66%","47.32%"
"Rice","Minnesota","3","30.7%","47.36%"
"Columbia","Washington","3","30.73%","47.39%"
"Anderson","South Carolina","3","30.76%","47.43%"
"Yates","New York","3","30.79%","47.46%"
"Roane","Tennessee","3","30.82%","47.5%"
"Long","Georgia","3","30.85%","47.53%"
"Carver","Minnesota","3","30.88%","47.57%"
"Cherokee","South Carolina","3","30.91%","47.6%"
"Rosebud","Montana","3","30.94%","47.63%"
"Cumberland","Kentucky","3","30.97%","47.67%"
"Lancaster","Nebraska","3","31%","47.7%"
"Saratoga","New York","3","31.04%","47.74%"
"Kent","Michigan","3","31.07%","47.77%"
"Berrien","Michigan","3","31.1%","47.81%"
"Day","South Dakota","3","31.13%","47.84%"
"Bryan","Georgia","3","31.16%","47.88%"
"Barron","Wisconsin","3","31.19%","47.91%"
"Clarendon","South Carolina","3","31.22%","47.94%"
"Stephens","Georgia","3","31.25%","47.98%"
"Liberty","Texas","3","31.28%","48.01%"
"Jefferson","Mississippi","3","31.31%","48.05%"
"Mercer","New Jersey","3","31.34%","48.08%"
"Webster Parish","Louisiana","3","31.38%","48.12%"
"Marion","Tennessee","3","31.41%","48.15%"
"Dade","Georgia","3","31.44%","48.18%"
"Washakie","Wyoming","3","31.47%","48.22%"
"Benton","Minnesota","3","31.5%","48.25%"
"Montgomery","North Carolina","3","31.53%","48.29%"
"Beaufort","North Carolina","3","31.56%","48.32%"
"Grand Forks","North Dakota","3","31.59%","48.35%"
"Johnson","Kansas","3","31.62%","48.39%"
"Hamlin","South Dakota","3","31.65%","48.42%"
"Suffolk city","Virginia","3","31.68%","48.46%"
"Johnson","Iowa","3","31.72%","48.49%"
"Kit Carson","Colorado","3","31.75%","48.53%"
"Hampshire","West Virginia","3","31.78%","48.56%"
"Matagorda","Texas","3","31.81%","48.59%"
"Roberts","South Dakota","3","31.84%","48.63%"
"Warren","Missouri","3","31.87%","48.66%"
"Fairfield","Ohio","3","31.9%","48.7%"
"Hocking","Ohio","3","31.93%","48.73%"
"Hale","Alabama","3","31.96%","48.76%"
"Columbus","North Carolina","3","31.99%","48.8%"
"Titus","Texas","3","32.02%","48.83%"
"McMinn","Tennessee","3","32.06%","48.87%"
"Deuel","South Dakota","3","32.09%","48.9%"
"Haralson","Georgia","3","32.12%","48.93%"
"Perry","Alabama","3","32.15%","48.97%"
"Campbell","Virginia","3","32.18%","49%"
"Salem city","Virginia","3","32.21%","49.04%"
"Washington","Minnesota","3","32.24%","49.07%"
"Miami","Kansas","3","32.27%","49.1%"
"Edgefield","South Carolina","3","32.3%","49.14%"
"Walker","Georgia","3","32.33%","49.17%"
"Bourbon","Kentucky","3","32.36%","49.21%"
"Camden","North Carolina","3","32.4%","49.24%"
"Pierce","Wisconsin","3","32.43%","49.27%"
"Blount","Alabama","3","32.46%","49.31%"
"Milwaukee","Wisconsin","3","32.49%","49.34%"
"York","Virginia","3","32.52%","49.38%"
"Grundy","Tennessee","3","32.55%","49.41%"
"Drew","Arkansas","3","32.58%","49.44%"
"Manistee","Michigan","3","32.61%","49.48%"
"Henry","Tennessee","3","32.64%","49.51%"
"Houston","Texas","3","32.67%","49.55%"
"Randolph","Alabama","3","32.7%","49.58%"
"St. Tammany Parish","Louisiana","3","32.74%","49.61%"
"Stearns","Minnesota","3","32.77%","49.65%"
"Winston","Alabama","3","32.8%","49.68%"
"Barry","Missouri","3","32.83%","49.71%"
"Powhatan","Virginia","3","32.86%","49.75%"
"Manassas city","Virginia","3","32.89%","49.78%"
"Hardee","Florida","3","32.92%","49.82%"
"Licking","Ohio","3","32.95%","49.85%"
"Caldwell","North Carolina","3","32.98%","49.88%"
"Accomack","Virginia","3","33.01%","49.92%"
"Freestone","Texas","3","33.04%","49.95%"
"Montgomery","Texas","3","33.08%","49.98%"
"Tyrrell","North Carolina","3","33.11%","50.02%"
"LaGrange","Indiana","3","33.14%","50.05%"
"St. Croix","Wisconsin","3","33.17%","50.09%"
"Hamilton","Texas","3","33.2%","50.12%"
"Wheeler","Nebraska","3","33.23%","50.15%"
"Union","Florida","3","33.26%","50.19%"
"Tripp","South Dakota","3","33.29%","50.22%"
"Burleson","Texas","3","33.32%","50.25%"
"Camden","Georgia","3","33.35%","50.29%"
"Essex","Vermont","3","33.38%","50.32%"
"Chisago","Minnesota","3","33.42%","50.36%"
"Greene","Tennessee","3","33.45%","50.39%"
"Paulding","Georgia","3","33.48%","50.42%"
"Shelby","Alabama","3","33.51%","50.46%"
"Mitchell","North Carolina","3","33.54%","50.49%"
"Giles","Tennessee","3","33.57%","50.52%"
"Jefferson","Wisconsin","3","33.6%","50.56%"
"Berkeley","West Virginia","3","33.63%","50.59%"
"Franklin","Ohio","3","33.66%","50.63%"
"Bradford","Florida","3","33.69%","50.66%"
"Jackson","Alabama","3","33.72%","50.69%"
"Craven","North Carolina","3","33.76%","50.73%"
"Petersburg city","Virginia","3","33.79%","50.76%"
"Isabella","Michigan","3","33.82%","50.79%"
"Johnson","Arkansas","3","33.85%","50.83%"
"Platte","Missouri","3","33.88%","50.86%"
"Scott","Tennessee","3","33.91%","50.89%"
"Davison","South Dakota","3","33.94%","50.93%"
"Chesterfield","Virginia","3","33.97%","50.96%"
"Humboldt","Nevada","3","34%","50.99%"
"Newton","Texas","3","34.03%","51.03%"
"De Soto Parish","Louisiana","3","34.06%","51.06%"
"Highland","Virginia","3","34.1%","51.09%"
"Isanti","Minnesota","3","34.13%","51.13%"
"Penobscot","Maine","3","34.16%","51.16%"
"Moffat","Colorado","3","34.19%","51.2%"
"Lincoln","South Dakota","3","34.22%","51.23%"
"Limestone","Alabama","3","34.25%","51.26%"
"Spotsylvania","Virginia","3","34.28%","51.3%"
"Laurens","South Carolina","3","34.31%","51.33%"
"Brown","Wisconsin","3","34.34%","51.36%"
"Buffalo","Nebraska","3","34.37%","51.4%"
"McIntosh","Oklahoma","3","34.4%","51.43%"
"Stafford","Virginia","3","34.44%","51.46%"
"Madison","Alabama","3","34.47%","51.5%"
"Baltimore","Maryland","3","34.5%","51.53%"
"Marshall","Mississippi","3","34.53%","51.56%"
"Washington","Wisconsin","3","34.56%","51.6%"
"Goodhue","Minnesota","3","34.59%","51.63%"
"Philadelphia","Pennsylvania","3","34.62%","51.66%"
"Musselshell","Montana","3","34.65%","51.7%"
"Todd","Minnesota","3","34.68%","51.73%"
"Uinta","Wyoming","3","34.71%","51.76%"
"Chippewa","Wisconsin","3","34.74%","51.8%"
"Essex","New York","3","34.78%","51.83%"
"Jefferson","West Virginia","3","34.81%","51.86%"
"Guadalupe","Texas","3","34.84%","51.9%"
"Abbeville","South Carolina","3","34.87%","51.93%"
"La Salle","Texas","3","34.9%","51.96%"
"Plaquemines Parish","Louisiana","3","34.93%","52%"
"Story","Iowa","3","34.96%","52.03%"
"Bates","Missouri","3","34.99%","52.06%"
"Dakota","Minnesota","3","35.02%","52.09%"
"Bolivar","Mississippi","3","35.05%","52.13%"
"Madison","Tennessee","3","35.09%","52.16%"
"Putnam","New York","3","35.12%","52.19%"
"Oceana","Michigan","3","35.15%","52.23%"
"Harrison","Mississippi","3","35.18%","52.26%"
"Yankton","South Dakota","3","35.21%","52.29%"
"Calhoun","Florida","3","35.24%","52.33%"
"Isle of Wight","Virginia","3","35.27%","52.36%"
"Calhoun","South Carolina","3","35.3%","52.39%"
"Ramsey","North Dakota","3","35.33%","52.43%"
"Hamilton","New York","3","35.36%","52.46%"
"Morrow","Ohio","3","35.39%","52.49%"
"Cameron","Texas","3","35.43%","52.53%"
"Floyd","Virginia","3","35.46%","52.56%"
"Barren","Kentucky","3","35.49%","52.59%"
"Polk","Georgia","3","35.52%","52.62%"
